Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2022;Gasto ejecutado año en curso;Importe 2023;Importe 2024;Importe 2025;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_fotografia;Fecha de los datos
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;2021;2023;;212;USERA;PASEO SANTA MARÍA DE LA CABEZA, 95;PASEO DE;SANTA MARÍA DE LA CABEZA;95;40.3922859;-3.7089303;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1689000;4700833;5082261,52;1700000;;;;6771261,52;8089833;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;2021;2023;;207;CHAMBERÍ;CALLE DE SANTA ENGRACIA 116, 118 Y 120;CALLE;SANTA ENGRACIA;116, 118, 120;40.44038738649969;-3.7007173334334205;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;499628,85;1890285;1054445,2799999998;700000;;;;1554074,13;3089913,85;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;2021;2023;;202;ARGANZUELA;C/PLOMO, 14;CALLE;PLOMO;14;40.39281490540317;-3.689732618094451;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1689389,72;4332741;4525692,48;2500000;;;;6215082,2;8522130,719999999;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000418;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;2022;2023;;209;MONCLOA-ARAVACA;RONDA DE LAS PROVINCIAS, 7;RONDA;DE LAS PRONVINCIAS;7;40.41176384535083;-3.743862787553562;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;825000;749670,22;1000000;;;;749670,22;1825000;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000420;UNIDAD INTEGRAL POLICÍA MUNICIPAL USERA. OBRAS DE SANEAMIENTO Y REFORMA DE VESTUARIOS;2022;2023;;212;USERA;C/DOCTOR TOLOSA LATOUR, 16;CALLE;DOCTOR TOLOSA LATOUR;16;40.3759435930581 ;-3.702718487554872;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;935000;;635000;;;;;1570000;EN PROCESO;Continúa ejecución en 2023 con Codigo de Proyecto 2023/000387;;2023-02-23
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000421;ESCUADRÓN POLICÍA MUNICIPAL. OBRAS DE REFORMA CANTINA;2022;2023;;209;MONCLOA-ARAVACA;CARRETERA DEL PARDO, 3;CARRETERA;DEL PARDO;3;40.47745229980593;-3.7513272182341164;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;300000;;1700000;;;;;2000000;EN PROCESO;Continúa ejecución en 2023 con Codigo de Proyecto 2023/000384;;2023-02-23
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000425;PARQUE 9 BOMBEROS. OBRAS PARA INSTALACIÓN DE CAMPA PROVISIONAL;2022;2022;;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;40.48022515029228 ;-3.6996125875510923;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;1540000;1708903,51;;;;;1708903,51;1540000;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000426;PARQUE DE BOMBEROS 9. OBRAS DE REFORMA INTEGRAL;2022;2023;;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;40.480208828940015 ;-3.69961258755109232;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;300000;;3000000;;;;;3300000;EN PROCESO;Continúa ejecución en 2023 con Codigo de Proyecto 2023/000385;;2023-02-23
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";2018;2023;;221;BARAJAS;PASEO ALAMEDA DE OSUNA, 25;PASEO;ALAMEDA DE OSUNA;25;40.4547855;-3.6019412;10;CULTURA;2076545,9900000002;2680000;637748,8399999999;1600000;;;;2714294,83;6356545,99;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2019/000527;MUSEO DE SAN ISIDRO. OBRAS ADECUACIÓN PARA SOSTENIBILIDAD;2021;2023;;201;CENTRO;PLAZA SAN ANDRÉS, 2;PLAZA;SAN ANDRÉS;2;40.4120708;-3.7132821;10;CULTURA;69386,68;47619;39075,98999999999;1500000;;;;108462,66999999998;1617005,68;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000043;CASA DE VARGAS. REHABILITACIÓN CASA-PALACIO Y JARDÍN DE FELIPE II;2020;2023;;209;MONCLOA-ARAVACA;PASEO DEL EMBARCADERO, 2;PASEO DEL;DEL EMBARCADERO;2;40.4191125;-3.7256439;10;CULTURA;59483,189999999995;570000;582648,13;2600000;;;;642131,32;3229483,19;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000419;PABELLÓN DE HEXÁGONOS CASA DE CAMPO. REHABILITACIÓN;2022;2023;;209;MONCLOA-ARAVACA;CALLE DE LOS HEXÁGONOS, 4;CALLE;DE LOS HEXÁGONOS;4;40.4126577;-3.7442902;10;CULTURA;;254152;;500000;;;;;754152;EN PROCESO;Continúa Ejecución en 2023 gestionada por el Ayuntamiento de Madrid, A.G. de Turismo, Cultura y Deporte;;2023-02-23
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2021/000053;NAVE 15 MATADERO. OBRAS DE ACONDICIONAMIENTO;2022;2023;;202;ARGANZUELA;PLAZA DE LEGAZPI, 8;PLAZA;DE LEGAZPI;8;40.3917614508368 ;-3.6963276163896612;10;CULTURA;;160000;38478;1600000;;;;38478;1760000;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2022/000541;MUSEO ARTE CONTEMPORÁNEO EN CONDE DUQUE. ACONDICIONAMIENTO NUEVAS SALAS;2022;2022;;201;CENTRO;CALLE DEL CONDE DUQUE, 9;CALLE;DEL CONDE DUQUE;9;40.42741912138544 ;-3.7107288317298197;10;CULTURA;;1000000;;;;;;;1000000;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;131;DEPORTE;2019/003146;UNIDADES DEPORTIVAS PARA LA PRÁCTICA DEL RUGBY EN VILLA DE VALLECAS. CONSTRUCCIÓN;2021;2022;2022;218;VILLA DE VALLECAS;CALLE EDUARDO CHILLIDA C/V CALLE ARTE HIPERREALISTA;CALLE;EDUARDO CHILLIDA C/V CALLE ARTE HIPERREALISTA;;40.3597278;-3.5890154;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;2373984,67;613000;910517,5700000003;;;;;3284502,24;3284502,24;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-003146_RUGBY_VILLA_VALLECAS.jpg;2023-02-23
