Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2020;Gasto ejecutado año en curso;Importe 2021;Importe 2022;Importe 2023;Resto Anualidades;Gasto Ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_Fotografia;Fecha de los datos
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;29;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VILLAVERDE INGENIEROS;2019;2022;;217;VILLAVERDE;La Pícara Molinera, 62;calle;La Pícara Molinera;62;40.354728;-3.702921;15;Vivienda;0,00;3352903,50;;3823441,50;4000000,00;0,00;0,00;;11176345,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;30;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 39A;2020;2022;;219;VICÁLVARO;Diálogo, 79;calle;Diálogo;79;40.406674;-3.554058;15;Vivienda;0,00;3249381,90;;3581891,10;4000000,00;0,00;0,00;;10831273,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;31;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 39B;2020;2022;;219;VICÁLVARO;Diálogo, 63;calle;Diálogo;63;40.406681;-3.554270;15;Vivienda;0,00;3249381,90;;3581891,10;4000000,00;0,00;0,00;;10831273,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;32;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 41B;2020;2022;;219;VICÁLVARO;Cerro del Tesoro, 31;calle;Cerro del Tesoro;31;40.407221;-3.550798;15;Vivienda;0,00;3249381,90;;3581891,10;4000000,00;0,00;0,00;;10831273,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;33;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 30A;2020;2022;;219;VICÁLVARO;Miguel Delibes, 50;avenida;Miguel Delibes;50;40.405652;-3.561710;15;Vivienda;0,00;2525968,80;;3893927,20;2000000,00;0,00;0,00;;8419896,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;34;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 30D;2020;2022;;219;VICÁLVARO;Jose Escobar Y Saliente, 80;calle;Jose Escobar Y Saliente;80;40.405013;-3.562580;15;Vivienda;0,00;2525971,80;;3893934,20;2000000,00;0,00;0,00;;8419906,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;35;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 34B;2020;2022;;219;VICÁLVARO;Miguel Delibes, 65;avenida;Miguel Delibes;65;40.405559;-3.559543;15;Vivienda;0,00;1725006,60;;3900026,40;3000000,00;0,00;0,00;;8625033,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;36;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 5C;2020;2022;;219;VICÁLVARO;Arroyo Cañaveral, 75;calle;Arroyo Cañaveral;75;40.400465;-3.558319;15;Vivienda;0,00;1725006,60;;3900026,40;3000000,00;0,00;0,00;;8625033,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;37;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. T 6A;2020;2022;;219;VICÁLVARO;Enrique Urquijo, 81;calle;Enrique Urquijo;81;40.400904;-3.559980;15;Vivienda;0,00;842557,00;;1870228,00;1500000,00;0,00;0,00;;4212785,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;38;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓNVICALVARO. T 6B;2020;2022;;219;VICÁLVARO;Enrique Urquijo, 91;calle;Enrique Urquijo;91;40.401244;-3.559669;15;Vivienda;0,00;842557,00;;1870228,00;1500000,00;0,00;0,00;;4212785,00;EN PROCESO;;;10/06/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;39;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓNVICALVARO. T 10BC;2020;2022;;219;VICÁLVARO;Ilusión, 41;calle;Ilusión;41;40.405876;-3.555100;15;Vivienda;0,00;1683979,20;;3735916,80;3000000,00;0,00;0,00;;8419896,00;EN PROCESO;;;10/06/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/005057;PALACIO TORRE ARIAS. SUBSANACIÓN DE PATOLOGÍAS Y CONSOLIDACIÓN FORJADOS Y MUROS;2019;2020;;220;SAN BLAS-CANILLEJAS;Calle Rodriguez Ayuso,11;Calle;Rodriguez Ayuso;11;40.446189513951886;-3.6197618193996126;00;INVERSIONES DE CARÁCTER GENERAL;2118810,83;1518372,00;1210325,77;;;;;3329136,60;3637182,83;EN PROCESO;;;10/06/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/005072;CENTRO DEPORTIVO VICÁLVARO (MARGOT MOLES). SUBSANACIÓN DE PATOLOGÍAS EN GALERÍA PISCINA DE VERANO;2019;2020;;219;VICÁLVARO;Paseo del Polideportivo, 3;Paseo ;del Polideportivo ;3;40.40927578819653;-3.6032795894011986;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;612754,64;1717108,00;2133537,39;;;;;2746292,03;2329862,64;EN PROCESO;;;10/06/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/005145;ENTORNO DE LA AVDA. ARCENTALES . ADECUACIÓN DE VIALES;2019;2020;2020;220;SAN BLAS-CANILLEJAS;Calles Estocolmo, Manchester, Bélgica, Albania, San Petesburgo, Budapést, Bucarést, Moscú y  Av.luis Aragonés;Calles;Estocolmo, Manchester, Bélgica, Albania, San Petesburgo, Budapést, Bucarést, Moscú y  Av.luis Aragonés;;40.42965364963891;-3.6005187759065747;08;MANTENIMIENTO URBANO;261738,93;1442325,00;1499985,39;;;;;1761724,32;1761724,32;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2020/2020_2018-005145_EntornoAVArcentales.jpg;10/06/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/005157;CARRERA DE SAN JERÓNIMO, CEDACEROS, ARLABAN Y VIRGEN DE LOS PELIGROS. REMODELACIÓN;2020;2020;;201;CENTRO;CARRERA DE SAN JERÓNIMO, CEDACEROS, ARLABAN Y VIRGEN DE LOS PELIGROS;;CARRERA DE SAN JERÓNIMO, CEDACEROS, ARLABAN Y VIRGEN DE LOS PELIGROS;;40.416764715664094;-3.6996881182363275;06;URBANISMO;;1956614,00;1216928,85;;;;;1216928,85;1956614,00;EN PROCESO;;;10/06/2022
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2018/005233;JARDINES DEL BUEN RETIRO. REHABILITACIÓN INTEGRAL DEL PASEO DE MÉJICO;2020;2020;;203;RETIRO;Paseo de Méjico;Paseo;de Méjico;;40.419500;-3.687472;09;MEDIO AMBIENTE;;1771746,00;795432,69;;;;;795432,69;1771746,00;EN PROCESO;;;10/06/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/006011;CENTRO DEPORTIVO MUNICIPAL JOSÉ MARÍA CAGIGAL. REHABILITACIÓN;2018;2020;2020;209;MONCLOA-ARAVACA;Calle Santa Pola, 22;Calle;Santa Pola;22;40.4325727195707;-3.7370170635802005;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1732749,80;1354000,00;1708655,97;;;;;3441405,77;3441405,77;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2020/2020_2018-006011%20CDMJMCagigalRehabilitacII.jpg;10/06/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/006012;ESCUELA INFANTIL C/ RODAS, 20-22. CONSTRUCCIÓN;2018;2020;;201;CENTRO;Calle Rodas, 20-22;Calle;Rodas;20-22;40.40836266765931;-3.7065290605658863;05;EDUCACIÓN;1289692,35;1000000,00;999821,32;;;;;2289513,67;2289692,35;EN PROCESO;;;10/06/2022
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2020/000044;APARCAMIENTO DISUASORIO EN SUPERFICIE PITIS. CONSTRUCCIÓN;2018;2020;;208;FUENCARRAL-EL PARDO;Calle Gloria Fuertes, 191, 28049 Madrid;Calle;Gloria Fuertes;191;40.49553852652329;-3.725235802891992;07;INFRAESTRUCTURAS;23492,26;2273825,00;;;;;;23492,26;2297317,26;EN PROCESO;Ejecución en Código 2018/010648;;10/06/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000268;CENTRO DEPORTIVO JOSÉ MARÍA CAGIGAL. SUBSANACIÓN PATOLOGÍAS VESTUARIOS Y PABELLÓN;2020;2020;;209;MONCLOA-ARAVACA;Calle Santa Pola, 22;Calle;Santa Pola;22;40.4325727195707;-3.7370170635802005;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;1900000,00;1963604,95;;;;;1963604,95;1900000,00;EN PROCESO;;;10/06/2022
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2020/000289;APARCAMIENTO DISUASORIO EN SUPERFICIE FUENTE DE LA MORA. CONSTRUCCIÓN;2018;2020;;216;HORTALEZA;Calle Dulce Chacón, 15, 28050 Madrid;Calle;Dulce Chacón;15;40.48507404569120;-3.666214377059660;07;INFRAESTRUCTURAS;21707,30;1440429,00;;;;;;21707,30;1462136,30;EN PROCESO;Ejecución en Código 2018/030648;;10/06/2022
