Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;TipoVial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2025;Gasto ejecutado año en curso;Importe 2026;Importe 2027;Importe 2028;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_fotografia;Fecha de los datos;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003036;ZONA VERDE EN EL BARRIO DE REJAS. OBRAS DE ACONDICIONAMIENTO (ID 21: 17683);2024;2025;;220;SAN BLAS-CANILLEJAS;CALLE DE FUENCEMILLÁN 41-57;CALLE;DE FUENCEMILLÁN 41-57;41-57;40.4439911;-3.5718752;09;MEDIO AMBIENTE;19989,55;820000,00;25927,97;;;;;45917,52;839989,55;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/000227;ALIVIADEROS DE LOS ESTANQUES DE TORMENTAS DE ABROÑIGALES Y LA GAVIA. ADECUACIÓN Y ACONDICIONAMIENTO;2024;2025;;218;VILLA DE VALLECAS;MARGEN IZQUIER DA  DEL RIO.A-COORD. (X,Y) = (443147.97 , 4466737.09);0,00;0,00;;40.3492529;-3.6694496;09;MEDIO AMBIENTE;72839,84;2800000,00;120322,90;;;;;193162,74;2872839,84;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/000228;MARGEN IZQUIERDA DEL RÍO MANZANARES A LA ALTURA DE LA C/ADELINA PATTI. OBRAS DE REGENERACIÓN;2025;2026;;208;FUENCARRAL-EL PARDO;CALLE DE ADELINA PATTI;CALLE;DE ADELINA PATTI;;40.5237273;-3.7805961;09;MEDIO AMBIENTE;;132433,00;16051,34;1507567,00;;;;16051,34;1640000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/001079;PARQUE CERRO ALMODÓVAR. OBRAS DE REHABILITACIÓN INTEGRAL;2024;2026;;210;LATINA;CALLE DE MARCELINO CASTILLO;CALLE;DE MARCELINO CASTILLO;;40.392602;-3.746611;09;MEDIO AMBIENTE;24984,83;205000,00;;1120000,00;;;;24984,83;1349984,83;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/001149;PARQUE DE LAS CRUCES, DISTRITO DE LATINA. REHABILITACIÓN;2024;2026;;210;LATINA;AVENIDA DE LOS POBLADOS;AVENIDA;DE LOS POBLADOS;;40.375579;-3.756862;09;MEDIO AMBIENTE;44990,58;205000,00;;2345000,00;;;;44990,58;2594990,58;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/001177;CENTRO DE TRATAMIENTO LA PALOMA. OBRAS DE MODERNIZACIÓN Y MEJORA;2025;2025;;218;VILLA DE VALLECAS;;;;;40.33817;-3.57514;09;MEDIO AMBIENTE;;9891029,00;;;;;;0,00;9891029,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;161;POLÍTICAS DE VIVIENDA;2022/000510;OBRAS DE URBANIZACIÓN ESPACIOS INTERBLOQUE PLAN ESPECIAL COLONIA URPISA;2025;2026;;218;VILLA DE VALLECAS;COLONIA URPISA;COLONIA;URPISA;;40.38177;-3.618715;06;URBANISMO;;1292266,00;285291,72;1277945,00;;;;285291,72;2570211,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;161;POLÍTICAS DE VIVIENDA;2025/000345;CALLE DE BUJALANCE, COLONIA DEL CERRO BERMEJO. ACTUACIONES DE REGENERACIÓN URBANA;2025;2025;;210;LATINA;CALLE DE BUJALANCE, FUENTE OVEJUNA, EGABRO, POZOBLANCO Y OTRAS;CALLE;BUJALANCE, FUENTE OVEJUNA, EGABRO, POZOBLANCO Y OTRAS;;40.4097416;-3.7271382;06;URBANISMO;;1647811,00;;;;;;0,00;1647811,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;161;POLÍTICAS DE VIVIENDA;2025/000348;CALLE DE LA HACIENDA DE PAVONES, BARRIO PAVONES-LAS LATAS. ACTUACIONES DE REGENERACIÓN URBANA;2025;2026;;214;MORATALAZ;CALLE DE LA HACIENDA DE PAVONES Y LUIS DE HOYOS SAINZ;CALLE;DE LA HACIENDA DE PAVONES Y LUIS DE HOYOS SAINZ;;40.4027617;-3.6409968;06;URBANISMO;;17500,00;15139,12;1625647,00;;;;15139,12;1643147,00;EN PROCESO;Incluye actuaciones previstas ejercicio 2024 en código de proyecto 2024/000160;;30/06/2025;;
001;AYUNTAMIENTO;161;POLÍTICAS DE VIVIENDA;2025/000349;CALLE DE SAN PEDRO DE CARDEÑA, MANOTERAS SUR. ACTUACIONES DE REGENERACIÓN URBANA;2025;2025;;216;HORTALEZA;CALLE DE SAN PEDRO DE CARDEÑA, CRUZ LATINA, TEMPLARIOS Y OTRAS;CALLE;DE SAN PEDRO DE CARDEÑA, CRUZ LATINA, TEMPLARIOS Y OTRAS;;40.4738837;-3.6622347;06;URBANISMO;;1647811,00;;;;;;0,00;1647811,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2019/000092;BIBLIOTECA-CENTRO CULTURAL VILLA DE VALLECAS. CONSTRUCCION;2021;2025;;218;VILLA DE VALLECAS;AVDA. DE LA GAVIA, 55;AVENIDA;DE LA GAVIA;55;40.36707456785566;-3.6164204452259043;10;CULTURA;4040871,88;2657073,00;1947954,25;;;;;5988826,13;6697944,88;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000252;CENTRO CULTURAL Y BIBLIOTECA EN MONTECARMELO. CONSTRUCCIÓN;2020;2025;;208;FUENCARRAL-EL PARDO;AVENIDA MONTESCORIAL C/V AVENIDA METRO SILOS, 57;AVENIDA;MONTESCORIAL C/V AVENIDA MONASTERIO SILOS, 57;;40.5055069;-3.6980938;10;CULTURA;3923081,80;1933061,00;744710,57;;;;;4667792,37;5856142,80;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000253;CENTRO CULTURAL Y BIBLIOTECA EN LAS TABLAS. CONSTRUCCIÓN;2020;2028;;208;FUENCARRAL-EL PARDO;PASEO DE LA TIERRA DE MELIDE, 11;PASEO;DE LA TIERRA DE MELIDE;11;40.505526438717105;-3.662130317447807;10;CULTURA;271802,67;150000,00;37129,33;1500000,00;6500000,00;5000000,00;;308932,00;13421802,67;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000297;BIBLIOTECA EN EL DISTRITO DE CARABANCHEL. CONSTRUCCIÓN;2020;2025;;211;CARABANCHEL;AVENIDA CARABANCHEL ALTO, 51;AVENIDA;CARABANCHEL ALTO;51;40.3616093;-3.7560156;10;CULTURA;4996911,45;2098653,00;1583972,03;;;;;6580883,48;7095564,45;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000388;CENTRO CULTURAL VALDEBEBAS. CONSTRUCCIÓN;2021;2025;;216;HORTALEZA;AVENIDA MANUEL FRAGA IRIBARNE, 125 C/V JORDI SOLE TURA;AVENIDA;MANUEL FRAGA IRIBARNE, 125 C/V JORDI SOLE TURA;;40.4923517;-3.6105398;10;CULTURA;6340441,35;3874381,00;3262252,52;;;;;9602693,87;10214822,35;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000390;CASA DE FAMILIA VILLA DE VALLECAS. CONSTRUCCIÓN;2022;2026;;218;VILLA DE VALLECAS;AVENIDA ENSANCHE, 91 C/V FERNANDO CHUECAGOITIA;AVENIDA;ENSANCHE, 91 C/V FERNANDO CHUECAGOITIA;;40.36130898199516;-3.5938878779498156;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;499555,61;6286754,00;441513,56;1763340,00;;;;941069,17;8549649,61;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000423;CENTRO DE MAYORES C/ TELLEZ. CONSTRUCCION;2022;2025;;203;RETIRO;CALLE TÉLLEZ, 2;CALLE;TÉLLEZ;2;40.4042354;-3.6858061;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;1640108,85;1121306,00;1422568,38;;;;;3062677,23;2761414,85;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000446;EDIFICIO MUNICIPAL C/ MONTAMARTA, 7. OBRAS DE ACONDICIONAMIENTO PARA CENTRO CULTURAL;2021;2025;;220;SAN BLAS-CANILLEJAS;CALLE DE MONTAMARTA, 7;CALLE;DE MONTAMARTA;7;40.4230284;-3.621095;10;CULTURA;1974103,78;520540,00;900544,89;;;;;2874648,67;2494643,78;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/001335;VESTUARIOS CAMPOS DE RUGBY Y FÚTBOL EN ENTREVÍAS. CONSTRUCCIÓN;2021;2025;;213;PUENTE DE VALLECAS;RONDA DEL SUR, 4 (PARQUE DE ENTREVÍAS);RONDA;DEL SUR (PARQUE DE ENTREVÍAS);4;40.37787388790656;-3.6738970028962754;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1157319,07;700000,00;673730,90;;;;;1831049,97;1857319,07;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000283;CARRETERA DE VALDECARROS. ADECUACIÓN DE VIALES;2024;2025;;218;VILLA DE VALLECAS;CARRETERA DE VALDECARROS;CARRETERA;VALDECARROS;;40.36126153;-3.62726055;07;INFRAESTRUCTURAS;2699958,42;2744731,00;89830,96;;;;;2789789,38;5444689,42;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000288;PLAZA DE JACINTO BENAVENTE. OBRAS DE REMODELACIÓN DE LA URBANIZACIÓN;2025;2025;;201;CENTRO;PLAZA DE JACINTO BENAVENTE;PLAZA;DE JACINTO BENAVENTE;;40.41427144280748;-3.7036640177895164;06;URBANISMO;;2500000,00;;;;;;0,00;2500000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000301;CASCO HISTÓRICO DE BARAJAS. OBRAS DE PEATONALIZACIÓN;2025;2026;;221;BARAJAS;DIVERSAS CALLES CASCO HISTÓRICO DE BARAJAS;;;;40.472061;-3.5842523;08;MANTENIMIENTO URBANO;;850000,00;;2350000,00;;;;0,00;3200000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000302;PLAZA DE SALVADOR DALÍ. REMODELACIÓN DE LA URBANIZACIÓN;2025;2026;;204;SALAMANCA;PLAZA DE SALVADOR DALÍ;PLAZA;DE SALVADOR DALÍ;;40.42395344667449;-3.6733664657210228;06;URBANISMO;;1275000,00;83708,41;184197,00;;;;83708,41;1459197,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000306;BASE SAMUR-PROTECCION CIVIL Y CENTRO DE SALUD DEL DISTRITO DE MORATALAZ. CONSTRUCCION;2022;2025;;214;MORATALAZ;CALLE BRUJAS, 28;CALLE;BRUJAS;28;40.40000939236909 ;-3.62810027406011;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;2659320,61;2719213,00;1153233,23;;;;;3812553,84;5378533,61;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000307;CENTRO MULTIFUNCIONAL C/ FRANCISCO REMIRO, 21. CONSTRUCCION;2022;2025;;204;SALAMANCA;C/FRANCISCO REMIRO, 21;CALLE;FRANCISCO REMIRO;21;40.43858779152413;-3.666769831729441;10;CULTURA;3306570,28;5577658,00;1786640,68;;;;;5093210,96;8884228,28;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000308;NUEVO AULARIO DEL CENTRO DE FORMACION DE SEGURIDAD Y EMERGENCIAS (CIFSE). CONSTRUCCION;2022;2026;;210;LATINA;CALLE SEPÚLVEDA, 153, 28011 MADRID;CALLE;SEPÚLVEDA;153;40.40286845108914 ;-3.7515003028953573;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;244856,23;9217003,00;211154,84;7897466,00;;;;456011,07;17359325,23;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000487;ESCUELA DE MÚSICA EN EL DISTRITO DE PUENTE DE VALLECAS. CONSTRUCCIÓN;2022;2027;;213;PUENTE DE VALLECAS;C/ JAVIER DE MIGUEL, 8 C/V C/ MARTÍNEZ DE LA RIVA;CALLE;JAVIER DE MIGUEL 8 C/V MARTÍNEZ DE LA RIVA;;40.38901771292814;-3.664102470612631;05;EDUCACIÓN;124382,45;;;2382538,00;2836122,15;;;124382,45;5343042,60;EN PROCESO;Pendiente de habilitar Crédito en 2025;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000488;FACTORÍA INDUSTRIAL VILLA DE VALLECAS. CONSTRUCCIÓN;2022;2025;;218;VILLA DE VALLECAS;AVDA. DE CARTAGENA DE INDIAS, 50;AVENIDA;DE CARTAGENA DE INDIAS;50;40.364956;-3.640114;14;SECTORES PRODUCTIVOS;4980343,02;4279386,00;2741357,20;;;;;7721700,22;9259729,02;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001001;ESCUELA INFANTIL LOS PAJARITOS, DISTRITO DE RETIRO. CONSTRUCCIÓN;2022;2026;;203;RETIRO;C/ ADELFAS, 6;CALLE;ADELFAS;6;40.40279966157042 ;-3.6724092452246317;05;EDUCACIÓN;117039,67;;;2850000,00;;;;117039,67;2967039,67;EN PROCESO;Pendiente de habilitar Crédito en 2025;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001064;CENTRO DE MAYORES PARQUE EUROPA. CONSTRUCCIÓN;2022;2026;;210;LATINA;C/ FUENTE DEL TIRO, 72;CALLE;DE LA FUENTE DEL TIRO;72;40.38418397;-3.77866128;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;765906,28;4638673,00;96844,50;1546913,00;;;;862750,78;6951492,28;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001263;ZONAS ADYACENTES JARDINES DE SABATINI CON LA PLAZA DE ESPAÑA.REURBANIZACIÓN Y ACONDICIONAMIENTO;2024;2025;;201;CENTRO;0,00;0,00;0,00;;40.420448117571745;-3.7140053644180497;06;URBANISMO;2299999,99;3293693,00;711202,25;;;;;3011202,24;5593692,99;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001303;PABELLÓN DEPORTIVO EN CALLE MÓNACO, 10, DISTRITO SAN BLAS-CANILLEJAS. CONSTRUCCIÓN;2022;2026;;220;SAN BLAS-CANILLEJAS;C/ MÓNACO, 10;CALLE;DE MÓNACO;10;40.4316155;-3.6042837;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;5798409,31;5223694,00;1957092,45;1044252,00;;;;7755501,76;12066355,31;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001304;ESCUELA INFANTIL EN CALLE DE LA SILVINA, 8, BARRIO DE SAN FERMÍN. CONSTRUCCIÓN;2022;2027;;212;USERA;AVENIDA OROVILLA, 13 - C/ DE LA SILVINA;AVENIDA;OROVILLA C/V CALLE DE LA SILVINA;;40.365188612795095;-3.6916910704335586;05;EDUCACIÓN;154216,01;182992,78;;5181150,00;995658,00;;;154216,01;6514016,79;EN PROCESO;Importe 2025 es el Crédito Definitivo a 30/06/2025;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001580;CENTRO DE BIENESTAR SOCIAL EN EL PALACIO DE LA DUQUESA DE SUECA. OBRAS DE ACONDICIONAMIENTO;2022;2027;;201;CENTRO;PZA. DUQUE DE ALBA, 2;PLAZA;DEL DUQUE DE ALBA;2;40.411727;-3.706780;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;288339,76;500000,00;;3600000,00;5800000,00;;;288339,76;10188339,76;EN PROCESO;"Incluye actuación prevista en el ejercicio 2024 en el código 2024/000377:""CENTRO PARA FAMILIAS VULNERABLES EN EL PALACIO DUQUESA DE SUECA""";;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001640;UNIDAD INTEGRAL DE POLICÍA MUNICIPAL DE VICÁLVARO. CONSTRUCCIÓN;2022;2027;;219;VICÁLVARO;C/ DE LOS PINILLAS, 33 C/V. C/DE CORDEL DE PAVONES  ;CALLE;DE LOS PINILLAS, 33 C/V CALLE DE CORDEL DE PAVONES;;40.39933999;-3.61715501;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;153542,21;;;6617760,50;820621,83;;;153542,21;7591924,54;EN PROCESO;Pendiente de habilitar Crédito en 2025;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2023/000286;CENTRO CULTURAL EN C/ TOMELLOSO, DISTRITO USERA. CONSTRUCCIÓN;2023;2027;;212;USERA;C/ DE  TOMELLOSO, 4;CALLE;DE TOMELLOSO;4;40.38188765547112;-3.698510624050009;10;CULTURA;155618,12;2000000,00;;3590000,00;2500643,00;;;155618,12;8246261,12;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2023/000331;PARQUE DE MANOLITO GAFOTAS. OBRAS DE REURBANIZACIÓN;2024;2025;;211;CARABANCHEL;C/PINAR DE SAN JOSE,DE LA TORTA Y DE LOS MORALES CON M-40;CALLES;PINAR DE SAN JOSE, DE LA TORTA Y DE LOS MORALES;;40.3605429198461;-3.767755364418051;06;URBANISMO;1469055,78;1482750,00;162432,59;;;;;1631488,37;2951805,78;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2023/000388;EDIFICIO PASEO DEL PRADO, 30. REFORMA PARA CENTRO CULTURAL;2025;2026;;201;CENTRO;PASEO DEL PRADO, 30;PASEO;DEL PRADO;30;40.412164985570094;-3.6932496416581237;10;CULTURA;;2900000,00;137872,78;1042148,00;;;;137872,78;3942148,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2023/001343;UNIDAD INTEGRAL POLICÍA MUNICIPAL DEL DISTRITO DE VILLAVERDE, AVDA. REAL DE PINTO, 104. CONSTRUCCIÓN;2023;2027;;217;VILLAVERDE;AV.REAL DE PINTO, 104;AVENIDA;REAL DE PINTO;104;40.340555945925374;-3.708109457062052;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;162069,99;500000,00;;4458651,00;2894654,00;;;162069,99;8015374,99;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2023/001372;TALLER DE CANTERÍA DE LA CASA DE CAMPO, NAVE 4. OBRAS DE SUBSANACIÓN DE PATOLOGÍAS;2023;2026;;209;MONCLOA-ARAVACA;LA CASILLA DE LA CASA DE CAMPO;;;;40.437358580568926;-3.74287642035187;00;INVERSIONES DE CARÁCTER GENERAL;390683,92;1500000,00;517136,10;1600000,00;;;;907820,02;3490683,92;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2023/001429;CENTRO CULTURAL-JUVENIL DISTRITO DE CIUDAD LINEAL,C/ CANAL DE PANAMÁ, 20. CONSTRUCCIÓN;2023;2027;;215;CIUDAD LINEAL;C/CANAL DE PANAMÁ, 20,18, 16 Y TORRELAGUNA 19,21,23,25;CALLE;CANAL DE PANAMÁ;20;40.44011663503319;-3.6506647836513175;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;135702,56;846571,00;;5133740,00;490173,00;;;135702,56;6606186,56;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2023/003005;BIBLIOTECA PÚBLICA C/SILVANO,101-103 (ENTORNO GLORIETA MAR DE CRISTAL). CONSTRUCCIÓN (ID 21: 18793);2023;2027;;216;HORTALEZA;CALLE DE SILVANO, 101 C/V C/JOSÉ DOMINGO RUS;CALLE;DE SILVANO;101;40.46398431;-3.6325963;10;CULTURA;163812,53;3500000,00;;4091920,00;1000000,00;;;163812,53;8755732,53;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2023/003006;CENTRO CULTURAL, BIBLIOTECA, AUDITORIO Y LUDOTECA EN EL CAÑAVERAL. CONSTRUCCIÓN (ID 21: 19005);2023;2027;;219;VICÁLVARO;C/ILUSIÓN,32;CALLE;ILUSIÓN;32;40.40618148;-3.55433462;10;CULTURA;218466,60;1500000,00;;5500000,00;6310000,00;;;218466,60;13528466,60;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000297;CUBRICIÓN DEL VIARIO M-30 EN EL PUENTE DE VENTAS;2025;2027;;204 (50%) - 215 (50%);SALAMANCA - CIUDAD LINEAL;0,00;0,00;0,00;;40.428602043456145;-3.6603723818581453;07;INFRAESTRUCTURAS;;30000000,00;;33150000,00;24686964,00;;;0,00;87836964,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000298;COMPLEJO MANZANA DE AZCA.  RECUPERACIÓN DE ESPACIOS;2025;2027;;206;TETUÁN;0,00;0,00;0,00;;40.44950854965299;-3.6931388999977415;08;MANTENIMIENTO URBANO;;155000,00;;15000000,00;45350000,00;;;0,00;60505000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000301;ESPACIOS LIBRES EN EL ENTORNO DE LA CIUDAD DEPORTIVA DE SAN BLAS. REMODELACIÓN DE LA URBANIZACIÓN;2025;2026;;220;SAN BLAS-CANILLEJAS;0,00;0,00;0,00;;40.445647;-3.604079;06;URBANISMO;;1620000,00;116381,65;5457849,00;;;;116381,65;7077849,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000304;PLAZA DE MATUTE EN EL DISTRITO CENTRO. OBRAS DE REHABILITACIÓN;2025;2025;;201;CENTRO;PLAZA DE MATUTE;PLAZA;DE MATUTE;;40.41369174244186;-3.699863839256373;08;MANTENIMIENTO URBANO;;1565000,00;257535,47;;;;;257535,47;1565000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000307;SOTERRAMIENTO PASEO DE LA CASTELLANA, TRAMO COMPLEJO HOSPITALARIO LA PAZ - CALLE DE SINESIO DELGADO;2025;2027;;205 (50%) - 208 (50%);CHAMARTÍN - FUENCARRAL-EL PARDO;0,00;0,00;0,00;;40.48012630664744;-3.6856615217992372;07;INFRAESTRUCTURAS;;30000000,00;;70000000,00;28925871,00;;;0,00;128925871,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000316;PASEO DE LA DIRECCIÓN, DISTRITO DE TETUAN. OBRAS DE URBANIZACIÓN;2024;2026;;206;TETUÁN;PASEO DE LA DIRECCIÓN, 161;PASEO;DE LA DIRECCIÓN;161;40.464472;-3.705556;06;URBANISMO;975046,19;3305048,00;457674,23;1487831,00;;;;1432720,42;5767925,19;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000375;ANTIGUO MERCADO DE LEGAZPI. ACONDICIONAMIENTO PARA EQUIPAMIENTOS PÚBLICOS Y OFICINAS ADMINISTRATIVAS;2024;2027;;202;ARGANZUELA;PLAZA DE LEGAZPI, 7;PLAZA;DE LEGAZPI;7;40.39034134309781;-3.6955112337360045;00;INVERSIONES DE CARÁCTER GENERAL;362419,74;33068684,00;9963280,37;32174459,00;16666283,00;;;10325700,11;82271845,74;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000376;VESTUARIOS CAMPOS DE RUGBY Y FÚTBOL EN ENTREVÍAS. ACONDICIONAMIENTO;2024;2025;;213;PUENTE DE VALLECAS;CALLE RONDA DEL SUR, 4;CALLE;RONDA DEL SUR;4;40.37916825846266;-3.674525957029483;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;27908,65;1500000,00;;;;;;27908,65;1527908,65;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000378;CENTRO DEPORTIVO MUNICIPAL VICENTE DEL BOSQUE. REFORMA INTEGRAL;2024;2027;;208;FUENCARRAL-EL PARDO;AV.DE MONFORTE DE LEMOS, 12;AVENIDA;DE MONFORTE DE LEMOS;12;40.4789135943213;-3.693540659747283;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1818967,09;5460000,00;2858523,90;5600000,00;3200000,00;;;4677490,99;16078967,09;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000380;CENTRO DEPORTIVO PEÑUELAS. REFORMA VASO PISCINA;2024;2025;;202;ARGANZUELA;CALLE DE ARGANDA, 25;CALLE;DE ARGANDA;25;40.39865532340664;-3.704959759845779;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;2475970,69;3959342,00;923921,10;;;;;3399891,79;6435312,69;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000381;CENTRO DEPORTIVO LUIS ARAGONÉS. SUBSANACIÓN PATOLOGÍAS VASO DE PISCINA;2024;2025;;216;HORTALEZA;CALLE DE EL PROVENCIO, 20;CALLE;DE EL PROVENCIO;20;40.464650948053816;-3.6275877145025817;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1651041,53;3164461,00;3362355,32;;;;;5013396,85;4815502,53;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2024/000382;CENTRO DEPORTIVO SAN JUAN BAUTISTA. SUBSANACIÓN PATOLOGÍAS DE VESTUARIOS, GRADA Y CAMPO DE FÚTBOL;2024;2026;;215;CIUDAD LINEAL;CALLES RAMÍREZ DE ARELLANO, 30 Y TREVIANA 1 B;CALLE;DE TREVIANA;1 B;40.44864976316054;-3.6585711797466836;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;733569,99;2300000,00;1372257,19;492775,00;;;;2105827,18;3526344,99;EN PROCESO;;;30/06/2025;;
