Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2021;Gasto ejecutado año en curso;Importe 2022;Importe 2023;Importe 2024;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_Fotografia;Fecha de los datos
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000423;CENTRO DE MAYORES C/ TELLEZ. CONSTRUCCION;2021;2023;;203;RETIRO;Calle Téllez, 2;Calle;Téllez;2;'40.4042354;'-3.6858061;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;;150000,00;;2750000,00;1000000,00;;;;3900000,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;204;DISTRITO DE SALAMANCA;2020/000354;EDIFICIO SEDE DISTRITO SALAMANCA. OBRAS DE REHABILITACIÓN GENERAL;2020;2022;;204;SALAMANCA;Calle Velázquez, 52;Calle;Velázquez;52;'40.4273605;'-3.6858071;0;INVERSIONES DE CARÁCTER GENERAL;17820,88;150000,00;;2000000,00;;;;17820,88;2167820,88;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000187;CENTRO DE MAYORES Y OTROS USOS POLIVALENTES C/ BRONCE. CONSTRUCCIÓN;2018;2023;;202;ARGANZUELA;Calle Bronce, 16 C/V Calle Cromo;Calle;Bronce, 16 C/V Calle cromo;;'40.389342;'-3.6906507;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;88309,65;100000,00;601548,69;4349993,00;2527263,00;;;689858,34;7065565,65;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000500;PLAN ESPECIAL RECOLETOS-PRADO. OBRAS DE URBANIZACIÓN;2021;2021;2021;203;RETIRO;RECOLETOS-PRADO;;RECOLETOS-PRADO;;'40.40977672;'-3.69196592;6;URBANISMO;;1000000,00;723990,58;;;;;723990,58;723990,58;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2021/2021_2021-00500_RecoletosPrado.jpg;14/02/2022
706;MADRID DESTINO, CULT.,TURISMO Y NEGOCIO, S.A.;130;CULTURA, TURISMO Y DEPORTE;MD/2016/003;REHABILITACIÓN EDIFICIOS TEATRO FERNÁN GÓMEZ;2016;2023;;204;SALAMANCA;Plaza Colón, 4;Plaza;Colón;4;'40.424681417884300;'-3.6899877647205600;10;CULTURA;1867550,51;1000000,00;;2000000,00;0,00;0,00;500000,00;;5367550,51;EN PROCESO;;;14/02/2022
706;MADRID DESTINO, CULT.,TURISMO Y NEGOCIO, S.A.;130;CULTURA, TURISMO Y DEPORTE;MD/2016/004;INSTALACIONES TEATRO FERNÁN GÓMEZ;2016;2023;;204;SALAMANCA;Plaza Colón, 4;Plaza;Colón;4;'40.42481410876830;'-3.6898788242989100;10;CULTURA;94335,00;350000,00;;1200000,00;0,00;0,00;0,00;;1644335,00;EN PROCESO;;;14/02/2022
706;MADRID DESTINO, CULT.,TURISMO Y NEGOCIO, S.A.;130;CULTURA, TURISMO Y DEPORTE;MD/2017/001;OBRA CIVIL TEATRO FERNÁN GÓMEZ;2017;2023;;204;SALAMANCA;Plaza Colón, 4;Plaza;Colón;4;'40.4251698290035;'-3.6898922220339300;10;CULTURA;781903,91;150000,00;;400000,00;0,00;0,00;0,00;;1331903,91;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2009/000430;BIBLIOTECA MUNICIPAL EN BARRIO DE SAN FERMÍN. CONSTRUCCIÓN;2009;2021;2021;212;USERA;Avenida De San Fermín, 8 Y 10;Avenida de;San Fermín; 8 y 10;'40.3711334;'-3.6954568;10;CULTURA;3078900,49;949398,00;881036,87;;;;;3959937,36;3959937,36;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2021/2021_2009-000430_SanFermin.jpg;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000404;ANTIGUO MERCADO DE LEGAZPI. SUBSANACIÓN DE PATOLOGÍAS;2021;2021;;202;ARGANZUELA;Plaza De Legazpi;Plaza;Legazpi;;'40.391065;'-3.6976967;0;INVERSIONES DE CARÁCTER GENERAL;;3498658,00;2300000,00;;;;;2300000,00;3498658,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000252;CENTRO CULTURAL Y BIBLIOTECA EN MONTECARMELO. CONSTRUCCIÓN;2020;2023;;208;FUENCARRAL-EL PARDO;Avenida Montescorial C/V Avenida Metro Silos, 57;Avenida;Montescorial C/V Avenida Monasterio Silos, 57;;'40.5055069;'-3.6980938;10;CULTURA;149638,28;231181,00;;3200000,00;1450000,00;;;149638,28;5030819,28;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000470;CENTRO DEPORTIVO C/COSTANILLA DESAMPARADOS, 15 C/V A C/FÚCAR, 6. CONSTRUCCIÓN;2018;2022;;201;CENTRO;Calle Costanilla De Los Desamparados, 15;Calle;Costanilla de los Desamparados;15;'40.411993428490200;'-3.6960142431122200;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1243794,49;14000000,00;3000000,00;4777375,00;;;;4243794,49;20021169,49;EN PROCESO;;;14/02/2022
