"#Año","#Variación"
"2010","3.0"
"2011","2.5"
"2012","2.5"
"2013","0.2"
"2014","-1.1"
"2015","0.0"
"2016","1.4"
"2017","1.2"
"2018","1.4"
"2019","0.9"
"2020","-0.8"
"2021","6.2"
"2022","4.9"
"2023","2.7"
"2024","0"
"2025","0"
