Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2025;Importe 2026;Importe 2027;Importe 2028;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2025/000316;MUSEOGRAFIA PARA EL MUSEO EL CAPRICHO;2025;2026;;221;BARAJAS;CALLE DE LA RAMBLA, 2;CALLE;DE LA RAMBLA;2;40.456849488736700;-3.5951170384193900;10;CULTURA;;600.000,00;1.000.000,00;;;;1.600.000,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2025/000377;MUSEO DE ARTE CONTEMPORANEO. OBRAS DE ACONDICIONAMIENTO;2025;2027;;201;CENTRO;CALLE DEL CONDE DUQUE, 9;CALLE;DEL CONDE DUQUE;9;40.42730579227890;-3.710730140331340;10;CULTURA;;125.000,00;2.000.000,00;2.955.717,00;;;5.080.717,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;131;DEPORTE;2022/001481;DEPORTIVO BÁSICO PIQUEÑAS. ADECUACIÓN CAMPO DE FÚTBOL CÉSPED ARTIFICIAL Y VESTUARIOS;2022;2025;;211;CARABANCHEL;C/ PINAR DE SAN JOSÉ C/V. C/ DE LA TORTA;CALLE;DEL PINAR DE SAN JOSÉ;64;40.360952;-3.768519;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;57.109,00;1.792.809,00;;;;;1.849.918,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;131;DEPORTE;2023/000282;DEPORTIVO BÁSICO PARQUE LINEAL DEL MANZANARES. SUSTITUCIÓN DE CÉSPED;2025;2025;;212;USERA;CALLE EMBAJADORES S/N;CALLE;EMBAJADORES;S/N;40.374485;-3.685494;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;1.100.000,00;;;;;1.100.000,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2006/000375;SISTEMAS DE COMPENSACIÓN. UZP 2-04 LOS BERROCALES;2008;2028;;219;VICÁLVARO;LOS BERROCALES;;LOS BERROCALES;;40.3772222;-3.579722222222222;06;URBANISMO;20.202.504,94;1.000.000,00;2.500.000,00;2.500.000,00;2.500.000,00;;28.702.504,94;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2009/000488;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;2010;2028;;219;VICÁLVARO;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;;DESARROLLO DEL ESTE LOS AHIJONES;;40.3879964;-3.56225647;06;URBANISMO;13.023.162,58;1.023.000,00;1.149.951,66;1.149.951,66;1.149.951,66;;17.496.017,56;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2010/000393;SUELO URBANIZABLE PROGRAMADO 3.01 DESARROLLO DEL ESTE VALDECARROS;2010;2028;;218;VILLA DE VALLECAS;PAU Valdecarros;;PAU Valdecarros;;40.34915068793722;-3.6292232757681036;06;URBANISMO;15.139.436,42;3.166.196,00;2.347.897,10;2.347.897,10;2.347.897,10;;25.349.323,72;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2019/000791;SOTERRAMIENTO AUTOPISTA A5 Y PASEO VERDE DEL SUROESTE. CONSTRUCCIÓN;2019;2027;;210;LATINA;PASEO DE EXTREMADURA, 160 AL 350, 28024 MADRID;PASEO;DE EXTREMADURA;160-350;40.40591410670645;-3.7504038495964656;07;INFRAESTRUCTURAS;4.510.279,65;126.892.934,00;133.387.826,00;49.854.744,62;;;314.645.784,27;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2020/007076;ANILLO VERDE DE VILLAVERDE. EJECUCIÓN BOSQUE METROPOLITANO;2021;2025;;217;VILLAVERDE;ANILLO VERDE DE VILLAVERDE;;ANILLO VERDE DE VILLAVERDE;;40.36002547;-3.71601781;06;URBANISMO;7.807.688,48;1.500.000,00;;;;;9.307.688,48;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000382;ÁMBITO CERRO ALMODÓVAR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2025;;218 (30%) - 219 (70%);VILLA DE VALLECAS - VICÁLVARO;"COORD_X   3° 35' 58,232"" W       COORD_Y  40° 23' 3,538"" N";;;;40.384167;-3.599444;06;URBANISMO;3.741.066,61;959.238,00;;;;;4.700.304,61;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000437;BORDE FORESTAL DE ORCASITAS. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2025;;212;USERA;BORDE FORESTAL DE ORCASITAS;;BORDE FORESTAL DE ORCASITAS;;40.36457818;-3.71745381;06;URBANISMO;3.419.585,42;1.363.417,00;;;;;4.783.002,42;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000440;CUÑA NORTE DE O´DONNELL. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2025;;215;CIUDAD LINEAL;CUÑA NORTE DE O´DONELL;;CUÑA NORTE DE O´DONELL;;40.4156699;-3.62947201;06;URBANISMO;10.561.713,25;497.725,00;;;;;11.059.438,25;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/001298;ÁMBITO CORREDOR NATURAL Y PARQUE FLUVIAL DEL ARROYO DE BUTARQUE. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2025;;217;VILLAVERDE;CALLE DE LA HULLA;CALLE;DE LA HULLA;;40.341278;-3.671583;06;URBANISMO;3.270.376,84;1.500.000,00;;;;;4.770.376,84;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2022/001489;MADRID NUEVO NORTE, NUDO DE FUENCARRAL. SOLUCIONES VIARIAS CONEXIÓN M-40, M-607 Y M-603;2022;2030;;208,00;FUENCARRAL-EL PARDO;CARRETERA DE COLMENAR VIEJO M-607, PK 13, 28049 MADRID;CARRETERA;COLMENAR VIEJO;13;40.57311763290568;-3.7040922929278053;07;INFRAESTRUCTURAS;505.135,47;;1.200.000,00;35.000.000,00;70.000.000,00;87.000.000,00;193.705.135,47;EN PROCESO;Pendiente de habilitar Crédito en 2025;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001006;CAMPUS SUR UNIVERSIDAD POLITÉCNICA DE MADRID Y ENTORNOS ESCOLARES VALLECAS. ZONAS DE BAJAS EMISIONES;2023;2025;;213 (70%) - 218 (30%);PUENTE DE VALLECAS - VILLA DE VALLECAS;Avenida del Campus Sur (recinto universitario);AVENIDA;DEL CAMPUS SUR;;40.387788;-3.6308581;07;INFRAESTRUCTURAS;2.376.703,30;9.025.279,00;;;;;11.401.982,30;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001014;CAMPO DE FÚTBOL EN ARAVACA, C/ESCULTOR PERESEJO, BOSQUE METROPOLITANO. CONSTRUCCIÓN;2025;2026;;209;MONCLOA-ARAVACA;C/ Escultor Peresejo 94;CALLE;DEL ESCULTOR PERESEJO;94;40.452722372430600;-3.791872894861590;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;;1.500.000,00;;;;1.500.000,00;EN PROCESO;Pendiente de habilitar Crédito en 2025;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001016;ÁMBITO DE LA CUÑA VERDE DE O´DONNELL SUR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2025;2025;;214;MORATALAZ;C/ ARROYO DE LA MEDIA LEGUA C.V. M23  ;CALLE;ARROYO DE VLA MEDIA LEGUA C/V M-23;;40.414187570960046;-3.649254368392708;06;URBANISMO;;1.500.000,00;;;;;1.500.000,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001542;JUNTA DE COMPENSACIÓN US 4.10 SOLANA DE VALDEBEBAS. URBANIZACIÓN;2023;2028;;216;HORTALEZA;;;;;40.506889;-3.616083;06;URBANISMO;381.690,57;100.000,00;300.000,00;300.000,00;300.000,00;;1.381.690,57;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/003004;CAMPOS DE FÚTBOL EN VALDEBEBAS (INSTALACIONES SOTENIBLES). CONSTRUCCIÓN (ID 21: 17695);2024;2025;;216;HORTALEZA;C/ Félix Candela c.v. Luis Moya Blanco c.v Josefina Aldecoa;CALLES;DE FÉLIX CANDELA C/V LUIS MOYA BLANCO Y JOSEFINA ALDECOA;;40.497327;-3.615194;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;218.377,27;1.950.000,00;;;;;2.168.377,27;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/003050;AVENIDA DE LAS TRECE ROSAS. AMPLIACIÓN, MEJORA DE LA MOVILIDAD Y ESPACIOS ESTANCIALES (ID 21: 17665);2024;2026;;215;CIUDAD LINEAL;AVENIDA DE LAS TRECE ROSAS;AVENIDA;DE LAS TRECE ROSAS;;40.422692;-3.647900;07;INFRAESTRUCTURAS;54.074,67;1.500.000,00;100.000,00;;;;1.654.074,67;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2024/000216;PARQUE DE CANILLEJAS. OBRAS DE REFORMA INTEGRAL;2024;2026;;220;SAN BLAS-CANILLEJAS;CALLE DE CIRCE 57;CALLE;DE CIRCE;57;40.4423525;-3.6107376;09;MEDIO AMBIENTE;19.989,55;;1.010.000,00;;;;1.029.989,55;EN PROCESO;Pendiente de habilitar Crédito en 2025;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2024/001008;BARRIO DE ORCASUR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2025;2025;;212;USERA;CALLE ARENAS DEL REY;CALLE ;DE ARENAS DEL REY;;40.364439;-3.700898;06;URBANISMO;;1.468.128,00;;;;;1.468.128,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2025/001006;ÁMBITO DE LA AVENIDA DE NIZA Y ZONAS ADYACENTES. OBRAS DE RENATURALIZACIÓN;2025;2025;;220;SAN BLAS-CANILLEJAS;AVENIDA DE NIZA;AVENIDA;DE NIZA;;40.432528;-3.606972;06;URBANISMO;;1.500.000,00;;;;;1.500.000,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2025/001007;CALLE DE LA HULLA E INMEDIACIONES, ÁMBITO ARROYO DE BUTARQUE SUR. OBRAS DE RENATURALIZACIÓN;2025;2025;;217;VILLAVERDE;CALLE DE LA HULLA;CALLE;DE LA HULLA;;40.340889;-3.671528;06;URBANISMO;;1.500.000,00;;;;;1.500.000,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2015;2026;;219;VICÁLVARO;INICIO DEL CAUCE DEL ARROYO EN ÁMBITO UZPP 2.04 LOS BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;40.37320354825461;-3.5599462399323714;09;MEDIO AMBIENTE;109.768,77;4.388.429,75;600.000,00;;;;5.098.198,52;EN PROCESO;Importe 2025 es el Crédito Definitivo a 11/04/2025;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2017/000244;PARQUE DE LA CASA DE CAMPO. ACTUACIONES DE REHABILITACIÓN;2017;2025;;209;MONCLOA-ARAVACA;Parque de la Casa de Campo;PARQUE;DE LA CASA DE CAMPO;;40.423433;-3.758581;09;MEDIO AMBIENTE;4.300.794,60;1.509.818,00;;;;;5.810.612,60;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2017/000249;PARQUE DEL RETIRO. ACTUACIONES DE REHABILITACIÓN;2017;2027;;203;RETIRO;PLAZA  INDEPENDENCIA, 7 ;PLAZA;DE LA INDEPENDENCIA;7;40.419683887311045;-3.6879969384116786;09;MEDIO AMBIENTE;78.045,00;;400.000,00;1.500.000,00;;;1.978.045,00;EN PROCESO;Pendiente de habilitar Crédito en 2025;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS DE ADECUACIÓN Y MEJORA;2020;2028;;221;BARAJAS;CAMINO DE LA MUÑOZA;CAMINO;DE LA MUÑOZA;;40.451781227823204;-3.535458209657427;09;MEDIO AMBIENTE;20.015.926,55;15.221.668,00;16.371.668,00;12.871.668,00;3.048.851,00;;67.529.781,55;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;2020;2027;;221;BARAJAS;CARRETERA ANTIGUA DE PARACUELLOS DE JARAMA, 44;CARRETERA;ANTIGUA DE PARACUELLOS DE JARAMA;44;40.4944431;-3.5501484;09;MEDIO AMBIENTE;26.059.445,44;21.380.899,00;18.483.336,00;9.158,00;;;65.932.838,44;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/000615;CAÑADA DEL SANTÍSIMO REHABILITACIÓN ZONAS VERDES;2019;2025;;218;VILLA DE VALLECAS;CALLE DE LA CAÑADA DEL SANTÍSIMO;CALLE;DE LA CAÑADA DEL SANTÍSIMO;;40.361063;-3.601015;09;MEDIO AMBIENTE;35.911,41;1.165.000,00;;;;;1.200.911,41;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/004321;DEPURADORA DE BUTARQUE CONSOLIDACIÓN DE LOS TERRENOS;2019;2025;;217;VILLAVERDE;AVENIDA DE LOS ROSALES, 399  ;AVENIDA;DE LOS ROSALES;399;40.334267204235616;-3.6637888028978547;09;MEDIO AMBIENTE;2.447.373,92;626.016,00;;;;;3.073.389,92;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2021/000001;CENTRO DE TRATAMIENTO  LAS DEHESAS. SISTEMAS DE DESODORIZACIÓN;2024;2026;;218;VILLA DE VALLECAS;CENTRO DE TRATAMIENTO  LAS DEHESAS;;CENTRO DE TRATAMIENTO  LAS DEHESAS;;40.33552477;-3.58243889;09;MEDIO AMBIENTE;234.770,19;;6.268.177,81;;;;6.502.948,00;EN PROCESO;Pendiente de habilitar Crédito en 2025;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2022/000553;PARQUE PINAR DEL REY. OBRAS DE REMODELACIÓN INTEGRAL;2022;2025;;216;HORTALEZA;CARRETERA DE CANILLAS;CARRETERA;DE CANILLAS;;40.464145;-3.655378;09;MEDIO AMBIENTE;183.078,04;1.081.064,00;;;;;1.264.142,04;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2022/001463;PARQUE LA VIÑA. OBRAS DE REHABILITACIÓN;2022;2025;;213;PUENTE DE VALLECAS;CALLE DE TIMOTEO PÉREZ RUBIO,9;CALLE;DE TIMOTEO PÉREZ RUBIO;9;40.38582807770370;-3.6743448920748100;09;MEDIO AMBIENTE;185.418,61;1.316.975,00;;;;;1.502.393,61;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2022/001467;PARQUE PINAR DE LA ELIPA. OBRAS DE MEJORA (ID 18: 10392);2022;2025;;215;CIUDAD LINEAL;CALLE DE FÉLIX RODRIGUEZ DE LA FUENTE, 26;CALLE;DE FÉLIX RODRIGUEZ DE LA FUENTE;26;40.41915434191835;-3.6563284848379123;09;MEDIO AMBIENTE;182.195,58;1.296.174,00;;;;;1.478.369,58;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003031;ZONAS VERDES ENSANCHE DE VALLECAS. CAMINOS, ZONAS ESTANCIALES Y OTRAS MEJORAS(ID 21: 17461);2024;2026;;218;VILLA DE VALLECAS;AV DE LAS SUERTES, 310-6;AVENIDA;DE LAS SUERTES;310-6;40.3651087;-3.5968636;09;MEDIO AMBIENTE;24.958,25;205.000,00;1.295.000,00;;;;1.524.958,25;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003032;ZONA FORESTAL MONTECARMELO: M-607 KM.13-GTA.VENTISQUERO DE LA CONDESA.REHABILITACIÓN (ID 21: 17548);2024;2026;;208;FUENCARRAL-EL PARDO;C. PAU ARROYO DEL FRESNO-AV DEL SANTUARIO DE VALVERDE, 83-85;AVENIDA;DEL SANTUARIO DE VALVERDE;83-85;40.5070759;-3.7077138;09;MEDIO AMBIENTE;21.980,97;205.000,00;1.625.000,00;;;;1.851.980,97;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003036;ZONA VERDE EN EL BARRIO DE REJAS. OBRAS DE ACONDICIONAMIENTO (ID 21: 17683);2024;2025;;220;SAN BLAS-CANILLEJAS;CALLE DE FUENCEMILLÁN 41-57;CALLE;DE FUENCEMILLÁN 41-57;41-57;40.4439911;-3.5718752;09;MEDIO AMBIENTE;19.989,55;820.000,00;;;;;839.989,55;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/000227;ALIVIADEROS DE LOS ESTANQUES DE TORMENTAS DE ABROÑIGALES Y LA GAVIA. ADECUACIÓN Y ACONDICIONAMIENTO;2024;2025;;218;VILLA DE VALLECAS;MARGEN IZQUIER DA  DEL RIO.A-COORD. (X,Y) = (443147.97 , 4466737.09);0,00;0,00;;40.3492529;-3.6694496;09;MEDIO AMBIENTE;72.839,84;2.800.000,00;;;;;2.872.839,84;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/000228;MARGEN IZQUIERDA DEL RÍO MANZANARES A LA ALTURA DE LA C/ADELINA PATTI. OBRAS DE REGENERACIÓN;2025;2026;;208;FUENCARRAL-EL PARDO;CALLE DE ADELINA PATTI;CALLE ;DE ADELINA PATTI;;40.5237273;-3.7805961;09;MEDIO AMBIENTE;;132.433,00;1.507.567,00;;;;1.640.000,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/001079;PARQUE CERRO ALMODÓVAR. OBRAS DE REHABILITACIÓN INTEGRAL;2024;2026;;210;LATINA;CALLE DE MARCELINO CASTILLO;CALLE;DE MARCELINO CASTILLO;;40.392602;-3.746611;09;MEDIO AMBIENTE;24.984,83;205.000,00;1.120.000,00;;;;1.349.984,83;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/001149;PARQUE DE LAS CRUCES, DISTRITO DE LATINA. REHABILITACIÓN;2024;2026;;210;LATINA;AVENIDA DE LOS POBLADOS;AVENIDA;DE LOS POBLADOS;;40.375579;-3.756862;09;MEDIO AMBIENTE;44.990,58;205.000,00;2.345.000,00;;;;2.594.990,58;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/001177;CENTRO DE TRATAMIENTO LA PALOMA. OBRAS DE MODERNIZACIÓN Y MEJORA;2025;2025;;218;VILLA DE VALLECAS;;;;;40.33817;-3.57514;09;MEDIO AMBIENTE;;9.891.029,00;;;;;9.891.029,00;EN PROCESO;;;11/04/2025;;
001;AYUNTAMIENTO;161;POLÍTICAS DE VIVIENDA;2022/000510;OBRAS DE URBANIZACIÓN ESPACIOS INTERBLOQUE PLAN ESPECIAL COLONIA URPISA;2025;2026;;218;VILLA DE VALLECAS;COLONIA URPISA;COLONIA;URPISA;;40.38177;-3.618715;06;URBANISMO;;1.292.266,00;1.277.945,00;;;;2.570.211,00;EN PROCESO;;;11/04/2025;;
