Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
;;1;201;32301;62599;2024/001003;2024/001003;ESCUELAS INFANTILES DEL DISTRITO CENTRO. MOBILIARIO Y ENSERES;201;CENTRO;5;EDUCACIÓN;1;ESCUELAS INFANTILES;;;;;;;2000;0;2000;2000;0;0;0;0;0;0
;;1;201;32301;63200;2024/000075;2024/000075;CENTRO DE EDUCACIÓN INFANTIL Y PRIMARIA PALACIO VALDÉS. OBRAS DE MEJORA;201;CENTRO;5;EDUCACIÓN;0;COLEGIOS;;;;;;;45000;0;45000;45000;0;0;0;0;0;0
;;1;201;32301;63200;2024/000078;2024/000078;CENTRO DE EDUCACIÓN INFANTIL Y PRIMARIA VÁZQUEZ DE MELLA. OBRAS DE ACONDICIONAMIENTO;201;CENTRO;5;EDUCACIÓN;0;COLEGIOS;;;;;;;185000;0;185000;185000;0;0;0;0;0;0
;;1;201;32301;63200;2024/000083;2024/000083;CENTRO DE EDUCACIÓN INFANTIL Y PRIMARIA EMILIA PARDO BAZÁN. OBRAS DE ACONDICIONAMIENTO;201;CENTRO;5;EDUCACIÓN;0;COLEGIOS;;;;;;;185000;0;185000;172142,13;0;12857,87;12857,87;0;0;0
;;1;201;32301;63599;2024/001003;2024/001003;ESCUELAS INFANTILES DEL DISTRITO CENTRO. MOBILIARIO Y ENSERES;201;CENTRO;5;EDUCACIÓN;1;ESCUELAS INFANTILES;;;;;;;3000;0;3000;3000;0;0;0;0;0;0
;;1;201;33401;60999;2024/000115;2024/000115;PLACAS CONMEMORATIVAS EN EL DISTRITO CENTRO. INSTALACIÓN;201;CENTRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;2550;0;2550;2550;0;0;0;0;0;0
;;1;201;33401;62599;2024/001002;2024/001002;CENTROS CULTURALES DEL DISTRITO CENTRO. MOBILIARIO Y ENSERES;201;CENTRO;10;CULTURA;3;CENTROS CULTURALES;;;;;;;3800;0;3800;3800;0;0;0;0;0;0
;;1;201;34201;61999;2024/000392;2024/000392;INSTALACIÓN DEPORTIVA BÁSICA EL CAMPITO. OBRAS DE ADECUACIÓN;201;CENTRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;2;PISTAS DEPORTIVAS ELEMENTALES;;;;;;;139000;0;139000;139000;0;0;0;0;0;0
;;1;201;92001;62500;2024/000079;2024/000079;SERVICIOS ADMINISTRATIVOS JUNTA MUNICIPAL DEL DISTRITO CENTRO. EQUIPOS DE COMUNICACIÓN  Y MOBILIARIO;201;CENTRO;0;INVERSIONES DE CARÁCTER GENERAL;2;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;;;;;;;1000;0;1000;1000;0;0;0;0;0;0
;;1;201;92001;62600;2024/000079;2024/000079;SERVICIOS ADMINISTRATIVOS JUNTA MUNICIPAL DEL DISTRITO CENTRO. EQUIPOS DE COMUNICACIÓN  Y MOBILIARIO;201;CENTRO;0;INVERSIONES DE CARÁCTER GENERAL;2;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;;;;;;;1000;0;1000;1000;0;0;0;0;0;0
;;1;201;93302;63200;2024/000369;2024/000369;CENTRO CULTURAL CLARA DEL REY. OBRAS DE ACONDICIONAMIENTO;201;CENTRO;10;CULTURA;3;CENTROS CULTURALES;;;;;;;150000;0;150000;150000;0;0;0;0;0;0
;;1;201;93302;63200;2024/001130;2024/001130;ALBERGUE JUVENIL C/ MEJÍA LEQUERICA, 21. OBRAS INSTALACIÓN DE CLIMATIZACIÓN;201;CENTRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;3;CENTROS JUVENILES;;;;;;;0;135000;135000;135000;0;0;0;0;0;0
;;1;202;23103;62300;2023/001149;2023/001149;NUEVO CENTRO DE MAYORES E INTERGENERACIONAL EN C/ BRONCE, DISTRITO ARGANZUELA. COCINA INDUSTRIAL;202;ARGANZUELA;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;17;FONDO REEQUILIBRIO TERRITORIAL;;;145760;0;145760;65242,89;0;80517,11;80517,11;3932,5;0;3932,5
