Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2020;Gasto ejecutado año en curso;Importe 2021;Importe 2022;Importe 2023;Resto Anualidades;Gasto Ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_Fotografia;Fecha de los datos
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2016;2022;;219;VICÁLVARO;Inicio Del Cauce Del Arroyo En Ámbito Uzpp 2.04 Los Berrocales Hasta Las Inmediaciones De La A3;;Berrocales hasta las inmediaciones de la A3;;40.37320354825461;-3.5599462399323714;09;MEDIO AMBIENTE;101886,22;110000;7882,55;1000000;1500000;;;109768,77;2711886,2199999997;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000341;INSTALACIÓN DEPORTIVA ENSANCHE DE VALLECAS (PAU VALLECAS). CONSTRUCCIÓN;2017;2020;;218;VILLA DE VALLECAS;Calle josé Gutierrez Maroto 34 C/V Avenida Cerro Milano;Calle;Calle josé Gutierrez Maroto 34 C/V Avenida Cerro Milano;;40.3632843;-3.6075912;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1722907,8099999998;8036143;3577145,24;;;;;5300053,05;9759050,81;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000427;CENTRO CULTURAL EN VALDERRIVAS, C/ TITANIO. CONSTRUCCIÓN;2017;2022;;219;VICÁLVARO;Calle Titanio,5 C/V Ribas De Jarama;Calle;Titanio,5 C/V Ribas De Jarama;;40.4021037;-3.6037268;10;CULTURA;10043,57;686122;99837,95;2000000;5200000;;;109881,51999999999;7896165,57;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000470;CENTRO DEPORTIVO C/COSTANILLA DESAMPARADOS, 15 C/V A C/FÚCAR, 6. CONSTRUCCIÓN;2018;2022;;201;CENTRO;Calle Costanilla De Los Desamparados, 15;Calle;Costanilla de los Desamparados;15;40.411993428490256;-3.6960142431122205;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;343794,51;5785164;899999,98;8450000;11601725;;;1243794,49;26180683,509999998;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000519;APR 13.01 SIERRA TOLEDANA. URBANIZACIÓN;2019;2021;;213;PUENTE DE VALLECAS;Calles Doctor Lozano, Pico Cuadramón, Baltasar Santos, Ruzafa, Fernando Pastor, Pico Anayet, Garganta De Aisa, Pico Veleta, Patio De Santiago Y Sierra Toledana. Distrito Puente De Vallecas;Calle;Doctor Lozano, Pico Cuadramón, Baltasar Santos, Ruzafa, Fernando Pastor, Pico Anayet, Garganta De Aisa, Pico Veleta, Patio De Santiago Y Sierra Toledana. ;;40.4040032;-3.6596165;06;URBANISMO;41305,29;3565960;209770,11;1553431;;;;251075,4;5160696,29;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000533;CENTRO DEPORTIVO LA CEBADA. CONSTRUCCIÓN;2017;2021;;201;CENTRO;Plaza De La Cebada, 1;Plaza de la;de La Cebada;1;40.4113817;-3.7109359;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;552634,86;4999693;4198434,12;5033610,85;;;;4751068,98;10585938,71;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000537;CENTRO JUVENIL ZOFIO. CONSTRUCCIÓN;2017;2021;;212;USERA;Calle Avena, 5 Y 7;Calle;Avena;5 y 7;40.37754434245922;-3.715659804601842;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;82742,8;3291007;1932981,85;1796949;;;;2015724,6500000001;5170698,8;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000538;CENTRO DE SERVICIOS SOCIALES ENSANCHE DE VALLECAS. CONSTRUCCIÓN;2017;2021;;218;VILLA DE VALLECAS;Avenida Ensanche De Vallecas, 91;Avenida;Ensanche de Vallecas;91;40.3624877;-3.5997148;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;95354,85999999999;5454721;1089376,22;350000;;;;1184731,08;5900075,86;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000724;PASARELA PEATONAL ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELES DESDE Bº DE BUTARQUE;2018;2021;;217;VILLAVERDE;ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELES;;ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELE;;40.3403167;-3.6832757;07;INFRAESTRUCTURAS;43741,84;950000;;2865618;;;;43741,84;3859359,84;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2016/000833;PARQUE DE LA GAVIA, DISTRITO VILLA DE VALLECAS. OBRAS DE REHABILITACIÓN;2017;2021;;218;VILLA DE VALLECAS;Avenida Del Mayorazgo, 24;Avenida del;Mayorazgo;24;40.3687473;-3.6318531;09;MEDIO AMBIENTE;1108106,5;8698519;9397588,09;7938157;;;;10505694,59;17744782,5;EN PROCESO;;;2022-06-10
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000187;CENTRO DE MAYORES Y OTROS USOS POLIVALENTES C/ BRONCE. CONSTRUCCIÓN;2018;2021;;202;ARGANZUELA;Calle Bronce, 16 C/V Calle Cromo;Calle;Bronce, 16 C/V Calle cromo;;40.389342;-3.6906507;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;70916,37;442921;17393,28;2166084;;;;88309,65;2679921,37;EN PROCESO;;;2022-06-10
